Name,Price,Rating,Room.Type,City,Bed(s),Bed
Gramercy Park,‎$329,85,Private room,New York,1,1
The Peninsula New York,‎$795,91,Private room,New York,1,1
The Surrey,‎$400,90,Private room,New York,1,1
Row NYC,‎$116,75,Private room,New York,1,1
Innside New York NoMad,‎$179,86,Private room,New York,1,1
The London NYC,‎$299,88,Private room,New York,1,1
The Roxy Hotel,‎$229,86,Private room,New York,1,1
The Towers of the Waldorf Astoria New York,‎$450,85,Private room,New York,1,1
Lotte New York Palace,‎$299,90,Private room,New York,1,1
Hotel Pennsylvania,‎$125,56,Private room,New York,1,1
DoubleTree by Hilton New York City - Financial District,‎$127,77,Private room,New York,1,1
Wyndham New Yorker,‎$126,78,Private room,New York,1,1
Inn New York City,‎$119,87,Private room,New York,1,1
Four Seasons Hotel New York,‎$745,89,Private room,New York,1,1
Hotel Hugo,‎$215,82,Private room,New York,1,1
The Lexington,‎$159,80,Private room,New York,1,1
Gansevoort Park Avenue NYC,‎$245,87,Private room,New York,1,1
Manhattan NYC-an Affinia hotel,‎$135,79,Private room,New York,1,1
Radio City Apartments,‎$195,82,Private room,New York,1,1
Aloft Manhattan,‎$129,81,Private room,New York,1,1
Hi Express Times Square,‎$154,79,Private room,New York,1,1
The Hotel Wolcott,‎$190,76,Private room,New York,1,1
Shoreham,‎$161,74,Private room,New York,1,1
The Quin,‎$305,89,Private room,New York,1,1
The Lucerne,‎$195,87,Private room,New York,1,1
The Roosevelt,‎$144,74,Private room,New York,1,1
Comfort Inn Times Square South  Area,‎$167,76,Private room,New York,1,1
Best Western Premier Herald Square,‎$155,85,Private room,New York,1,1
Paramount,‎$127,71,Private room,New York,1,1
Hampton Inn New York - 35th Street - Empire State Building,‎$135,83,Private room,New York,1,1
Fairfield Inn & Suites New York Manhattan-Chelsea,‎$158,84,Private room,New York,1,1
Refinery Hotel,‎$229,90,Private room,New York,1,1
Aloft Manhattan,‎$134,81,Private room,New York,1,1
Hilton Garden Inn Times Square Central,‎$135,84,Private room,New York,1,1
Hilton Garden Inn New York/Midtown Park Avenue,‎$127,85,Private room,New York,1,1
Hyatt Times Square New York,‎$199,91,Private room,New York,1,1
Michelangelo Hotel,‎$249,91,Private room,New York,1,1
Hampton Inn Manhattan-Times Square South,‎$161,84,Private room,New York,1,1
The Pearl Hotel,‎$280,90,Private room,New York,1,1
Staybridge Suites Times Square - New York City,‎$189,87,Private room,New York,1,1
Cassa Hotel 45th Street New York,‎$180,86,Private room,New York,1,1
Chambers,‎$203,88,Private room,New York,1,1
Sheraton New York Times Square Hotel,‎$189,81,Private room,New York,1,1
Hilton Garden Inn New York-Chelsea,‎$165,82,Private room,New York,1,1
Ameritania at Times Square,‎$169,80,Private room,New York,1,1
Hilton Garden Inn - West 35th Street,‎$135,87,Private room,New York,1,1
The Lexington,‎$159,80,Private room,New York,1,1
Hilton New York Fashion District,‎$143,83,Private room,New York,1,1
The Quin,‎$309,89,Private room,New York,1,1
Hampton Inn Manhattan - Madison Square Garden Area,‎$152,84,Private room,New York,1,1
Cassa Hotel 45th Street New York,‎$194,74,Private room,New York,1,1
The Manhattan at Times Square,‎$134,76,Private room,New York,1,1
Hilton Garden Inn - West 35th Street,‎$135,85,Private room,New York,1,1
Ace New York City,‎$189,71,Private room,New York,1,1
Millennium Broadway,‎$127,83,Private room,New York,1,1
Hampton Inn Manhattan - Times Square North,‎$149,84,Private room,New York,1,1
The Quin,‎$305,90,Private room,New York,1,1
W New York,‎$200,81,Private room,New York,1,1
The Standard High Line,‎$255,84,Private room,New York,1,1
Holiday Inn Express NYC Madison Square Garden,‎$162,85,Private room,New York,1,1
Le Belleclaire,‎$156,91,Private room,New York,1,1
Grand Hyatt,‎$199,91,Private room,New York,1,1
Morgans Hotel,‎$172,84,Private room,New York,1,1
The Westin New York at Times Square,‎$214,90,Private room,New York,1,1
Chambers,‎$203,87,Private room,New York,1,1
The Premier Hotel Times Square,‎$225,86,Private room,New York,1,1
NH New York Jolly Madison Towers,‎$110,88,Private room,New York,1,1
Dumont NYC-an Affinia hotel,‎$197,81,Private room,New York,1,1
Royalton,‎$187,82,Private room,New York,1,1
New York Marriott Marquis,‎$278,80,Private room,New York,1,1
DoubleTree by Hilton New York City - Financial District,‎$143,87,Private room,New York,1,1
One UN New York,‎$195,80,Private room,New York,1,1
Element New York Times Square West,‎$159,83,Private room,New York,1,1
Hyatt Times Square New York,‎$199,89,Private room,New York,1,1
The Pearl Hotel,‎$249,84,Private room,New York,1,1
Sheraton New York Times Square Hotel,‎$179,81,Private room,New York,1,1
Wingate by Wyndham Manhattan Midtown,‎$122,79,Private room,New York,1,1
The Premier Hotel Times Square,‎$234,86,Private room,New York,1,1
Club Quarters Hotel - World Trade Central,‎$116,86,Private room,New York,1,1
Riu Plaza New York Times Square,‎$169,80,Private room,New York,1,1
The Renwick,‎$165,79,Private room,New York,1,1
70 Park,‎$136,85,Private room,New York,1,1
Holiday Inn Manhattan 6th Ave - Chelsea,‎$108,77,Private room,New York,1,1
Hampton Inn Manhattan-Chelsea,‎$98,86,Private room,New York,1,1
Cassa Times Square,‎$146,83,Private room,New York,1,1
Four Points By Sheraton New York Downtown,‎$89,83,Private room,New York,1,1
The Westin New York at Times Square,‎$193,84,Private room,New York,1,1
The Marlton,‎$195,88,Private room,New York,1,1
Days Hotel on Broadway,‎$79,64,Private room,New York,1,1
Travel Inn Hotel,‎$89,75,Private room,New York,1,1
Soho Grand Hotel,‎$215,83,Private room,New York,1,1
Dream New York,‎$165,79,Private room,New York,1,1
Viceroy Central Park New York,‎$240,84,Private room,New York,1,1
Bentley Hotel,‎$135,76,Private room,New York,1,1
Warwick New York,‎$170,86,Private room,New York,1,1
373 Fifth Avenue,‎$125,80,Private room,New York,1,1
New York Marriott East Side,‎$179,81,Private room,New York,1,1
The James New York,‎$269,87,Private room,New York,1,1
The MAve NYC,‎$115,75,Private room,New York,1,1
Sixty Lower East Side,‎$223,84,Private room,New York,1,1
Gramercy Park,‎$349,85,Private room,,2,2
The Surrey,‎$400,90,Private room,,2,2
The Peninsula New York,‎$676,91,Private room,,2,2
Lotte New York Palace,‎$299,90,Private room,,2,2
The Roxy Hotel,‎$229,86,Private room,,2,2
Row NYC,‎$125,75,Private room,,2,2
Innside New York NoMad,‎$179,86,Private room,,2,2
Gansevoort Park Avenue NYC,‎$255,87,Private room,,2,2
The Towers of the Waldorf Astoria New York,‎$450,85,Private room,,2,2
Inn New York City,‎$129,87,Private room,,2,2
Hotel Hugo,‎$207,82,Private room,,2,2
Homewood Suites New York Midtown Manhattan - Times Square Hotel,‎$169,89,Private room,,2,2
The London NYC,‎$329,88,Private room,,2,2
Hilton Garden Inn Times Square Central,‎$135,84,Private room,,2,2
Four Seasons Hotel New York,‎$745,89,Private room,,2,2
Hampton Inn New York - 35th Street - Empire State Building,‎$135,83,Private room,,2,2
Aloft Manhattan,‎$134,81,Private room,,2,2
Wyndham New Yorker,‎$126,78,Private room,,2,2
Hilton New York,‎$215,79,Private room,,2,2
Hilton Garden Inn New York-Tribeca,‎$144,82,Private room,,2,2
The Quin,‎$305,89,Private room,,2,2
Hilton Garden Inn - West 35th Street,‎$135,87,Private room,,2,2
Courtyard New York Times Square West,‎$173,88,Private room,,2,2
Staybridge Suites Times Square - New York City,‎$167,87,Private room,,2,2
Doubletree New York City - Chelsea,‎$132,79,Private room,,2,2
Ace New York City,‎$189,83,Private room,,2,2
Fifty NYC -an Affinia hotel,‎$199,84,Private room,,2,2
Roger Smith Hotel,‎$191,81,Private room,,2,2
Belvedere,‎$179,83,Private room,,2,2
Soho Grand Hotel,‎$269,83,Private room,,2,2
1 Central Park,‎$333,91,Private room,,2,2
Warwick New York,‎$188,86,Private room,,2,2
The Lucerne,‎$249,87,Private room,,2,2
Viceroy Central Park New York,‎$269,84,Private room,,2,2
Hilton Times Square,‎$206,88,Private room,,2,2
Andaz 5th Avenue,‎$236,90,Private room,,2,2
Trump SoHo New York,‎$390,89,Private room,,2,2
Crowne Plaza Times Square Manhattan,‎$207,83,Private room,,2,2
Salisbury Hotel,‎$201,80,Private room,,2,2
Park Lane New York,‎$219,79,Private room,,2,2
Andaz Wall Street - Hyatt,‎$172,91,Private room,,2,2
Hotel Metro New York,‎$189,85,Private room,,2,2
The Maritime,‎$203,85,Private room,,2,2
Sofitel New York,‎$279,89,Private room,,2,2
Inn New York City,‎$199,87,Private room,,2,2
Sheraton New York Times Square Hotel,‎$179,81,Private room,,2,2
The Westin New York at Times Square,‎$244,84,Private room,,2,2
Hilton New York Fashion District,‎$175,83,Private room,,2,2
Le Parker Meridien New York,‎$269,83,Private room,,2,2
The Benjamin,‎$211,86,Private room,,2,2
Hampton Inn Manhattan-Times Square South,‎$284,83,Private room,,2,2
The Lexington,‎$375,84,Private room,,2,2
The Bowery,‎$365,81,Private room,,2,2
Travel Inn Hotel,‎$216,83,Private room,,2,2
Candlewood Times Square,‎$251,83,Private room,,2,2
Night Hotel Times Square,‎$259,91,Private room,,2,2
Fitzpatrick Manhattan,‎$347,86,Private room,,2,2
Mayflower Howard Johnson Long Island City,‎$138,87,Private room,,2,2
Sixty Lower East Side,‎$273,84,Private room,,2,2
Hampton Inn Manhattan - Madison Square Garden Area,‎$284,88,Private room,,2,2
Deauville,‎$195,90,Private room,,2,2
The Manhattan at Times Square,‎$219,89,Private room,,2,2
Holiday Inn Express NYC Madison Square Garden,‎$299,83,Private room,,2,2
Park Lane New York,‎$304,80,Private room,,2,2
The Ritz Carlton Battery Park,‎$385,79,Private room,,2,2
Best Western Premier Herald Square,‎$350,91,Private room,,2,2
Washington Square Hotel,‎$305,85,Private room,,2,2
The Carlyle,‎$795,85,Private room,,2,2
Pod 39,‎$230,89,Private room,,2,2
373 Fifth Avenue,‎$269,87,Private room,,2,2
DoubleTree by Hilton Hotel New York - Times Square South,‎$269,81,Private room,,2,2
Courtyard New York Times Square West,‎$279,84,Private room,,2,2
Magnuson Convention Center,‎$214,83,Private room,,2,2
The Westin New York Grand Central,‎$409,83,Private room,,2,2
Hilton Garden Inn - West 35th Street,‎$322,86,Private room,,2,2
Hotel Mulberry,‎$179,85,Private room,,2,2
Holiday Inn Express New York City-Wall Street,‎$144,80,Private room,,2,2
Comfort Inn Midtown West,‎$110,77,Private room,,2,2
Riu Plaza New York Times Square,‎$159,80,Private room,,2,2
Courtyard New York Times Square West,‎$170,88,Private room,,2,2
Hampton Inn Manhattan/Times Square Central,‎$143,87,Private room,,2,2
Courtyard New York Manhattan-Fifth Avenue,‎$172,81,Private room,,2,2
Courtyard New York Manhattan Midtown East,‎$175,86,Private room,,2,2
Doubletree Guest Suites Times Square,‎$244,85,Private room,,2,2
"The Muse, a Kimpton Hotel",‎$203,89,Private room,,2,2
Ramada New York / Eastside,‎$125,76,Private room,,2,2
Omni Berkshire Place,‎$179,87,Private room,,2,2
The Premier Hotel New York,‎$225,82,Private room,,2,2
Tryp Times Square,‎$192,69,Private room,,2,2
New York Marriott Marquis,‎$278,84,Private room,,2,2
Comfort Inn Times Square West,‎$125,82,Private room,,2,2
Best Western Premier Herald Square,‎$155,85,Private room,,2,2
The Mansfield Hotel,‎$143,76,Private room,,2,2
Wingate by Wyndham Manhattan Midtown,‎$152,79,Private room,,2,2
Hotel 48LEX New York,‎$233,88,Private room,,2,2
Bentley Hotel,‎$159,76,Private room,,2,2
The Benjamin,‎$208,86,Private room,,2,2
"Club Quarters Hotel, Grand Central",‎$143,85,Private room,,2,2
Fairfield Inn New York Manhattan-Financial District,‎$122,83,Private room,,2,2
Hotel Elysee New York,‎$216,90,Private room,,2,2
